测量时间,运动类型,轮次,本轮序号,距离_mm,目标_X_mm,目标_Y_mm,目标_Z_mm,运动速度_%,加速度_%,控制器返回值,运动调用耗时_s,首次满足停稳条件总耗时_s,确认停稳总耗时_s,调用返回后等待_s,采样次数,最终位置误差_mm,最终姿态误差_deg,最终线速度_mm_s,最终姿态速度_deg_s
2026-08-12T13:29:23,MoveL,1,1,2.0,-337.4151306152343,-223.0,330.0,100.0,100.0,0,0.06826020900007279,0.31799961000069743,0.36945777499931864,0.29442052800004603,28,0.08880354100738161,0.009674072265738687,2.271584286382582,0.38631486345825045
2026-08-12T13:29:24,MoveL,1,2,5.0,-337.4151306152343,-220.0,330.0,100.0,100.0,0,0.10665854000035324,0.2719694839997828,0.28887570400002005,0.17612741199991433,17,0.18597217054254908,0.016754150390625,2.657297853342768,0.3613965910815424
2026-08-12T13:29:24,MoveL,1,3,10.0,-337.4151306152343,-215.0,330.0,100.0,100.0,0,0.14709900699926948,0.2741674770004465,0.2918114690000948,0.13841718200092146,13,0.28045200182339797,0.0226287841796875,2.775714654684607,0.3228046754243353
2026-08-12T13:29:25,MoveL,1,4,15.0,-337.4151306152343,-210.0,330.0,100.0,100.0,0,0.17841551499986963,0.3400017439998919,0.35714573999939603,0.17279931700068119,17,0.12175279903760668,0.0117950439453125,1.82058264401867,0.04949440413964884
2026-08-12T13:29:26,MoveL,1,5,20.0,-337.4151306152343,-205.0,330.0,100.0,100.0,0,0.2103586119992542,0.3707127269990451,0.38937492199875123,0.17222015100014687,16,0.14800397407344945,0.01457977294921875,2.603518335780272,0.4785919945864922
2026-08-12T13:29:27,MoveL,1,6,30.0,-337.4151306152343,-195.0,330.0,100.0,100.0,0,0.298488422000446,0.41041787500034843,0.42736741800035816,0.12339784599862469,12,0.1163402497077434,0.00891876220703125,1.201110000877566,0.256909364895796
2026-08-12T13:29:28,MoveL,1,7,40.0,-337.4151306152343,-185.0,330.0,100.0,100.0,0,0.3369227450002654,0.45497014700049476,0.4729968430001463,0.12924575400029426,13,0.08249669774856036,0.00848388671875,2.221799679544505,0.06561280842805335
2026-08-12T13:29:29,MoveL,1,8,60.0,-337.4151306152343,-165.0,330.0,100.0,100.0,0,0.4049319719997584,0.506009290998918,0.5232469099992159,0.11228815599861264,11,0.13302190572239708,0.0076141357421875,2.95093342848451,0.6325034499079832
2026-08-12T13:29:30,MoveL,1,9,80.0,-337.4151306152343,-145.0,330.0,100.0,100.0,0,0.4551573040007497,0.5557616799997049,0.5815492719993927,0.12097381799867435,12,0.2297157542902625,0.02044677734375,1.805744077561149,0.04306507981357099
2026-08-12T13:29:31,MoveL,1,10,100.0,-337.4151306152343,-125.0,330.0,100.0,100.0,0,0.5014963440007705,0.6245362040008331,0.6402831449995574,0.1334424510005192,13,0.31863345630320683,0.02501678466796875,1.783292268862566,0.1861733952323725
2026-08-12T13:29:32,MoveL,1,11,150.0,-337.4151306152343,-75.0,330.0,100.0,100.0,0,0.593320586000118,0.7071033930005797,0.7222995760002959,0.12421999999969557,12,0.4250426936295894,0.04285430908203125,1.82763240797394,0.22402371839179375
2026-08-12T13:29:34,MoveL,1,12,200.0,-337.4151306152343,-25.0,330.0,100.0,100.0,0,0.6681629590002558,0.7848189720007213,0.8005330940013664,0.12687844500032952,13,0.4221035947346275,0.03937530517578125,1.404166396298354,0.28231912323221015
2026-08-12T13:29:36,MoveL,1,13,250.0,-337.4151306152343,25.0,330.0,100.0,100.0,0,0.7199861119988782,0.8706946179991064,0.8877937929992186,0.16158481599995866,16,0.4965851630370627,0.04416656494140625,2.081877244912986,0.3125280767145117
2026-08-12T13:29:37,MoveL,1,14,300.0,-337.4151306152343,75.0,330.0,100.0,100.0,0,0.7830294309987949,0.9269232649985497,0.9441331599991827,0.1553652479997254,15,0.5688920204827145,0.05178070068359375,2.01908088473198,0.4137444027414023
2026-08-12T13:29:40,MoveL,1,15,350.0,-337.4151306152343,125.0,330.0,100.0,100.0,0,0.8444949320000887,1.0095936939997046,1.0255495280016476,0.1756165669994516,16,0.6299751861338513,0.0530853271484375,1.551467720749894,0.21854049796570188
2026-08-12T13:29:42,MoveL,1,16,400.0,-337.4151306152343,175.0,330.0,100.0,100.0,0,0.9044041029992513,1.081064432997664,1.1227723070005595,0.2107659879984567,20,0.7179615573826313,0.05743408203125,1.389901477940012,0.2469280561236391
2026-08-12T13:29:44,MoveL,1,17,450.0,-337.4151306152343,225.0,330.0,100.0,100.0,0,0.9771803359999467,1.1325896919988736,1.1702945580000232,0.1872559639996325,19,0.7246438825363536,0.05178070068359375,1.455387748188335,0.218433672719599
2026-08-12T13:29:47,MoveL,2,1,450.0,-337.4151306152343,225.0,330.0,100.0,100.0,0,0.9785447030008072,1.1237299460008217,1.1646652069994161,0.17967891399894143,17,0.7238217976095777,0.05046844482421875,1.88167845438728,0.2961457384298285
2026-08-12T13:29:49,MoveL,2,2,400.0,-337.4151306152343,175.0,330.0,100.0,100.0,0,0.9046757910000451,1.0850082889992336,1.101465339999777,0.19075345599958382,18,0.7137694533275858,0.05634307861328125,2.774921023822652,0.4054587711426108
2026-08-12T13:29:52,MoveL,2,3,350.0,-337.4151306152343,125.0,330.0,100.0,100.0,0,0.8435169870008394,0.9986428690008324,1.016751479000959,0.1665114570005244,16,0.6199263241420991,0.05178070068359375,1.122454818900076,0.17935709635330316
2026-08-12T13:29:54,MoveL,2,4,300.0,-337.4151306152343,75.0,330.0,100.0,100.0,0,0.7828977029985253,0.9382531159972132,0.9554740599996876,0.1669164909999381,16,0.5780982465610722,0.053955078125,1.945744517241618,0.28621449975537827
2026-08-12T13:29:56,MoveL,2,5,250.0,-337.4151306152343,25.0,330.0,100.0,100.0,0,0.7199665699990874,0.8776993119990948,0.8932806479988358,0.167974043999493,17,0.5105738257629557,0.0489501953125,2.64560036415498,0.41426498262230027
2026-08-12T13:29:57,MoveL,2,6,200.0,-337.4151306152343,-25.0,330.0,100.0,100.0,0,0.6711686030012061,0.79388853400269,0.833030558000246,0.15581308200125932,15,0.48527468608823465,0.04785919189453125,1.92979362737467,0.37546685396532126
2026-08-12T13:29:59,MoveL,2,7,150.0,-337.4151306152343,-75.0,330.0,100.0,100.0,0,0.5947895650006103,0.7075545339994278,0.7232364450010209,0.12300373799916997,12,0.4149648909348815,0.04177093505859375,0.5998567480948037,0.24933080227035226
2026-08-12T13:30:00,MoveL,2,8,100.0,-337.4151306152343,-125.0,330.0,100.0,100.0,0,0.5022458080002252,0.6153687389996776,0.6323849670006894,0.12453837799876055,12,0.28144603468733437,0.020233154296875,1.639939374938917,0.4109237921028914
2026-08-12T13:30:02,MoveL,2,9,80.0,-337.4151306152343,-145.0,330.0,100.0,100.0,0,0.455421912998645,0.5622690039999725,0.5790271709993249,0.1183668760004366,12,0.21153699051267674,0.01827239990234375,2.010291458939198,0.3693428060134179
2026-08-12T13:30:03,MoveL,2,10,60.0,-337.4151306152343,-165.0,330.0,100.0,100.0,0,0.40438224599893147,0.5147481609983515,0.5316530259988212,0.1214024420005444,12,0.13796737270192752,0.006744384765625,1.167842762508783,0.2057478732303192
2026-08-12T13:30:04,MoveL,2,11,40.0,-337.4151306152343,-185.0,330.0,100.0,100.0,0,0.33609331600018777,0.4696678320015053,0.48883713400027773,0.1458811490010703,14,0.12753068511627502,0.01305389404296875,2.481137752426243,0.23393761057620488
2026-08-12T13:30:05,MoveL,2,12,30.0,-337.4151306152343,-195.0,330.0,100.0,100.0,0,0.29629221799950756,0.4286570589993062,0.4913155949998327,0.18775371099945914,18,0.08582861461253992,0.00457000732421875,1.386597487023494,0.23436892638569456
2026-08-12T13:30:06,MoveL,2,13,20.0,-337.4151306152343,-205.0,330.0,100.0,100.0,0,0.2298180819998379,0.36808835599913436,0.3867159019991959,0.15024097099922074,14,0.11136678078946477,0.0127410888671875,2.223023333179348,0.3433682976305579
2026-08-12T13:30:06,MoveL,2,14,15.0,-337.4151306152343,-210.0,330.0,100.0,100.0,0,0.17957475199909823,0.35461464899890416,0.3731624229985755,0.18692676899991056,18,0.11046564484269389,0.013870239258039874,1.598809481245766,0.09740893759450742
2026-08-12T13:30:07,MoveL,2,15,10.0,-337.4151306152343,-215.0,330.0,100.0,100.0,0,0.14737172099921736,0.29073644599884574,0.350936474998889,0.19752922499901615,19,0.12470717049235017,0.01065826416015625,1.746506891721904,0.12022135265205136
2026-08-12T13:30:08,MoveL,2,16,5.0,-337.4151306152343,-220.0,330.0,100.0,100.0,0,0.10480945199924463,0.2690928680003708,0.32979757800057996,0.22010094200049934,21,0.14007807378444465,0.013702392578125,2.025792603437015,0.3719728235867879
2026-08-12T13:30:09,MoveL,2,17,2.0,-337.4151306152343,-223.0,330.0,100.0,100.0,0,0.06844191399977717,0.2516116740007419,0.3981197789998987,0.3235476200006815,29,0.07010894191626511,0.00717926025390625,2.480666629527729,0.4043635787675365
2026-08-12T13:30:09,MoveL,3,1,2.0,-337.4151306152343,-223.0,330.0,100.0,100.0,0,0.0709747700002481,0.2608259509997879,0.32792405699910887,0.25150190199929057,25,0.10227644305065198,0.00783538818359375,2.607782406830448,0.4439339193335672
