距离_mm,有效次数,运动调用耗时均值_s,运动调用耗时中位数_s,运动调用耗时P10_s,运动调用耗时P90_s,运动调用耗时最小值_s,运动调用耗时最大值_s,首次满足停稳条件总耗时均值_s,首次满足停稳条件总耗时中位数_s,首次满足停稳条件总耗时P10_s,首次满足停稳条件总耗时P90_s,首次满足停稳条件总耗时最小值_s,首次满足停稳条件总耗时最大值_s,确认停稳总耗时均值_s,确认停稳总耗时中位数_s,确认停稳总耗时P10_s,确认停稳总耗时P90_s,确认停稳总耗时最小值_s,确认停稳总耗时最大值_s
2.0,5,0.07007108540019544,0.070727670999986,0.06833289099995454,0.07156042580063514,0.06826020900007279,0.07195086300089315,0.28222671760049706,0.2900020859997312,0.2552973848003603,0.3070774728010292,0.2516116740007419,0.31799961000069743,0.3670546123994427,0.36945777499931864,0.34367659619929325,0.3878582857996662,0.32792405699910887,0.3981197789998987
5.0,5,0.10623920539946993,0.10665854000035324,0.10500729519953893,0.10722121739891008,0.10480945199924463,0.10725813699900755,0.2481294347995572,0.2690928680003708,0.20985632259871637,0.27590787560002356,0.20717890899868507,0.278533470000184,0.3218279229997279,0.3296071659988229,0.3041123920000246,0.33225407699974313,0.28887570400002005,0.3338917429991852
10.0,5,0.14816323519953584,0.14737172099921736,0.14711839979900104,0.14966915620025248,0.14709900699926948,0.1499498630000744,0.2850363263998588,0.2856331240000145,0.27758154940020174,0.2914597345996299,0.2741674770004465,0.29194192700015265,0.3106969535994722,0.30273429399858287,0.2948950070000137,0.3339547713992943,0.2918114690000948,0.350936474998889
15.0,5,0.17905693699940456,0.1790578669988463,0.17841089139910765,0.17972714600000472,0.17840780899859965,0.17982874200060905,0.34801746019948043,0.349230838000949,0.3413741907999792,0.35389167299836116,0.3400017439998919,0.35461464899890416,0.36553455439934623,0.3669146600004751,0.35861238679935925,0.3717524905987375,0.35714573999939603,0.3731624229985755
20.0,5,0.2234639613998297,0.22541066399935517,0.21609750759962482,0.22870148840011095,0.2103586119992542,0.2298180819998379,0.36751995559934586,0.36808835599913436,0.3629233415995259,0.37158489719913634,0.36135200599892414,0.3721663439991971,0.3858970233995933,0.3867159019991959,0.38135855159998755,0.389688751999347,0.37980011599938734,0.3898979719997442
30.0,5,0.2977933686001052,0.2979710489998979,0.29661258719970646,0.2988685766005801,0.29629221799950756,0.29912201300066954,0.42384135400025114,0.42607376799969643,0.416313921400797,0.42880286979998344,0.41041787500034843,0.428900077000435,0.46912642600000254,0.4907588170008239,0.43345143159967847,0.49269394680013645,0.42736741800035816,0.493612848000339
40.0,5,0.33640361740035585,0.3369227450002654,0.3349516816004325,0.3374239432003378,0.33419059200059564,0.33749684800022806,0.4583544224005891,0.45497014700049476,0.4519157096001436,0.4670485588012525,0.45154958000057377,0.4696678320015053,0.48377604660017826,0.4729968430001463,0.47099752419999275,0.504481933000352,0.47071870699983265,0.5149117990004015
60.0,5,0.40475425759941575,0.40438224599893147,0.4029581163991679,0.4069545857997582,0.40248243199857825,0.4083029949997581,0.5130218795988185,0.5098985209988314,0.5074895429992466,0.5207453667982918,0.506009290998918,0.524743503998252,0.5305492181993031,0.5287455199995748,0.5248859867995634,0.5377148301988199,0.5232469099992159,0.5417560329988191
80.0,5,0.4545295584000996,0.4551573040007497,0.4527654956007609,0.4556844699993235,0.4514093440011493,0.4558595079997758,0.5568799439999566,0.5557616799997049,0.5534470187998523,0.560874469600094,0.5520623579996027,0.5622690039999725,0.575843538999834,0.576698277000105,0.5705259662001481,0.5805404315993655,0.5687438810000458,0.5815492719993927
100.0,5,0.5016553935998672,0.5015157729994826,0.5012830121995648,0.5020987856001738,0.5011407909987611,0.5022458080002252,0.6148709990000498,0.61414529799913,0.6094921060004708,0.6208692180003709,0.6068510220011376,0.6245362040008331,0.6319826883998758,0.6323849670006894,0.6267476023997005,0.6373927381995599,0.6253616079993662,0.6402831449995574
150.0,5,0.5930473602002166,0.593320586000118,0.5913958771998296,0.594414421800684,0.5904295000000275,0.5947895650006103,0.7064900780005701,0.7071033930005797,0.7040859916014597,0.7084610583999165,0.7029758480020973,0.7090654080002423,0.7243837256006372,0.7222995760002959,0.7206788428004074,0.7301553372009948,0.7201648640002531,0.7347679320009775
200.0,5,0.6683457647999603,0.6686561189999338,0.6658195809995959,0.6704946874004236,0.664257328999156,0.6711686030012061,0.7893900196002506,0.7917811059996893,0.7844281565998245,0.7932506696011843,0.7841676129992265,0.79388853400269,0.8106221984002332,0.8081354750011087,0.8012692848005827,0.8234336523997627,0.8005330940013664,0.833030558000246
250.0,5,0.7200726679995568,0.7199861119988782,0.7190320063993567,0.7210480175999692,0.7184089639995364,0.721236699999281,0.8711117159997229,0.8720260130012321,0.8641645125993819,0.8767505983993034,0.8598111089995655,0.8776993119990948,0.8873784319996048,0.8877937929992186,0.8814979949998816,0.8922646635994169,0.8773359110000456,0.8932806479988358
300.0,5,0.7831831755996973,0.7830294309987949,0.7821117461993708,0.7843332838005153,0.7815877749999345,0.7848644810001133,0.9343578925992915,0.934539746001974,0.9291171277985995,0.9391004947989131,0.9269232649985497,0.9396654140000464,0.9516171243998542,0.9507505430010497,0.9465645155993115,0.9566994099997828,0.9441331599991827,0.9575163099998463
350.0,5,0.844039650200284,0.8440214689999266,0.8433135450006375,0.8447901404000732,0.8431779170005029,0.8449869460000627,1.0089681718003702,1.0095936939997046,1.0020102462007343,1.0154775030005112,0.9986428690008324,1.0183015470011014,1.0263640460005263,1.0255495280016476,1.019378165800299,1.0336541006003244,1.016751479000959,1.0358684490001906
400.0,5,0.904366753800059,0.9044041029992513,0.9032836358008353,0.9055616537996685,0.9032148870010133,0.9061522289994173,1.083044056599101,1.08128564099934,1.0791335369987791,1.0880127037995408,1.0778462729995226,1.0900156469997455,1.1053202475999568,1.101465339999777,1.0971722917991429,1.1165465446007148,1.0955500789987127,1.1227723070005595
450.0,5,0.9789267506006581,0.9785447030008072,0.9770088188004593,0.98107928020072,0.976894474000801,0.9813679210001283,1.1286169712002447,1.1304324090015143,1.1245203360005689,1.1318045703992539,1.1237299460008217,1.1325896919988736,1.1611226656001237,1.1646652069994161,1.1482384294005898,1.1724436704000254,1.147637845000645,1.173876412000027
