方块类别,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,affine_OOF二维误差_mm,homography_OOF二维误差_mm,poly2_OOF二维误差_mm,poly3_OOF二维误差_mm
L_yellow,121.0,550.0,-165.7164306640625,-224.4611206054687,0.13827418836386485,0.6949635649663133,0.6983627117176184,0.6015250805740818
T,229.0,568.0,-157.2956237792968,-173.9193572998047,0.6894199589253611,0.9167940821819177,0.7259565563491128,0.9033511649614505
line,1117.0,480.0,-193.091552734375,242.9744415283203,1.3076615315010451,1.1005133934281843,0.609579054642244,0.45547731228276583
z_green,956.0,400.0,-231.0751342773437,168.5659790039062,0.9998573086805149,0.9684779511104845,0.6374237987204161,1.0360707144219987
L_yellow,900.0,525.0,-173.6122131347656,142.129898071289,0.37097085862384577,0.9142565386958933,0.6597284654242819,1.564495348590135
L_blue,73.0,457.0,-209.313751220703,-247.0045471191406,0.08314302734100933,0.5502241529435125,0.4689523963518743,1.3689474478915094
L_yellow,299.0,550.0,-165.814727783203,-139.707550048828,1.921127262782205,1.5457802735604556,1.2688900316649199,0.6507998579256368
T,983.0,477.0,-196.0142822265625,179.9834747314453,0.9322237865305849,0.5455350856533373,0.8402255799713725,0.6807441995309539
z_blue,192.0,445.0,-213.9843444824218,-191.4223175048828,0.7710737802538535,1.0131435026651237,1.1091328149369521,1.325769575758269
z_green,232.0,294.0,-284.3509521484375,-170.8765411376953,0.9800292526329755,0.9135177986405969,0.7494450892476426,0.414917380825066
square,331.0,314.0,-274.8717956542968,-124.2144241333008,1.1402914165432831,1.1618417820145568,0.8011815057913142,0.2884448314445722
L_blue,1071.0,398.0,-231.3312683105468,221.4027404785156,1.3809814795927275,1.2443524838397793,1.0446372995415372,0.9558113099198756
line,949.0,340.0,-260.9024963378906,165.2701873779297,0.8503765693459915,0.9331080772028052,1.1138488872379284,1.1464489722715245
square,1036.0,557.0,-158.2077026367187,204.9043884277343,0.8188310745849451,0.5289976746406378,0.38979816884746443,1.8903934865415661
z_green,1043.0,190.0,-329.7069702148437,210.1261291503906,0.4992665649239945,0.29291299352998496,0.3153924348803724,0.5234182932987179
z_blue,142.0,351.0,-258.843292236328,-215.2796173095703,1.168956043529588,1.3313163817489664,1.130398788889749,1.1281599254419585
T,1137.0,239.0,-306.7242736816406,253.8317108154297,0.21068937751359018,0.3352388618820966,0.3560421808338365,0.035465499266420356
line,77.0,134.0,-360.3971862792968,-245.6722717285156,1.5914809254371838,1.1161213845783777,0.5891369344245643,0.5526717354899995
L_blue,261.0,417.0,-227.904312133789,-157.001968383789,1.8606382225983147,1.7172665601003998,1.5056704772659295,1.2289618293954645
L_blue,341.0,193.0,-330.8583679199218,-119.3081970214843,1.353279530030052,1.481473920010924,0.9158067136777078,0.48586470104820517
T,1091.0,48.0,-396.9967651367187,232.9510040283203,0.9172875226290164,0.8473384455449822,0.35960660747884055,0.5237166106197347
square,1185.0,46.0,-398.0057983398437,277.5336303710937,1.7443162104492138,1.5354431260417702,1.2312584871442454,0.08630984627200887
L_yellow,355.0,470.0,-201.876510620117,-113.779586791992,0.8369216262533783,0.5428389059041322,0.19423262091148583,0.3526210265331369
T,182.0,148.0,-353.3104248046875,-195.6568298339843,0.6958839926473324,0.33761835252779565,0.3083833124542071,0.417404621178872
z_blue,1156.0,344.0,-257.1693725585937,262.6448669433593,0.17861678925765176,0.3482195620841037,0.913134904371452,0.5578131225439894
line,1094.0,132.0,-356.8678894042968,234.481460571289,0.7507276041856397,0.41716931229558096,0.5648786884873104,0.6089639544882611
z_blue,1007.0,273.0,-291.0372619628906,191.90673828125,0.6610863021995027,0.6552209844623624,0.865212731426212,0.5735559929966477
L_yellow,986.0,74.0,-383.7501220703125,183.1709899902343,0.5605888227156548,0.6777777497210515,1.127853892336466,0.7868815123850502
z_green,921.0,114.0,-365.8162841796875,151.6476287841797,1.0079536026392415,1.317173553705074,1.626285247108628,1.2943785911462449
square,137.0,267.0,-297.9886169433593,-216.5838928222656,0.13069010686259047,0.1940057877712957,0.37143414486246246,0.5201184097847215
z_green,302.0,77.0,-385.7012634277343,-137.6539916992187,0.7449247257005622,1.1448915661754944,0.8459298311826067,1.0458705816204639
line,173.0,72.0,-389.2382507324218,-199.9466552734375,1.0992402606952723,0.48841964602537435,0.6558510132366945,0.7203376285995658
z_blue,258.0,183.0,-335.823760986328,-159.2596588134765,0.8732436985094335,0.8810082110827434,0.6221273034766924,0.6574220688975805
L_blue,911.0,242.0,-306.338165283203,147.7198028564453,0.30375808704388874,0.4295727721243277,0.5866989542331364,0.6565029461261214
