方块类别,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,affine_OOF二维误差_mm,homography_OOF二维误差_mm,poly2_OOF二维误差_mm,poly3_OOF二维误差_mm
square,240.0,526.0,-172.0906372070312,-178.0810546875,0.29180622076615226,0.8025208927701141,0.7038069116597182,2.4865354212007906
z_green,369.0,251.0,-305.8772583007812,-114.2238388061523,0.7515466530605093,0.8585305849826564,0.8074540281870835,2.8626257334787333
L_yellow,272.0,69.0,-395.6210632324218,-160.5814056396484,0.808111849033123,0.722216565880628,0.6438671948560436,1.2239744656778122
L_blue,317.0,165.0,-349.0994873046875,-139.7393493652343,0.6654063663910643,0.6887918419717866,0.6418955073710596,0.9492936967318326
T,349.0,523.0,-172.788375854492,-124.1168365478515,0.5754898995792043,1.0883430548872681,0.9861635801427965,1.7705142429310983
L_blue,334.0,457.0,-206.0098571777343,-131.8626861572265,0.6421493763985109,0.6921954993115208,0.7978517798825665,0.944615789934314
z_green,135.0,127.0,-367.6720581054687,-228.7091979980468,0.27059943602901526,0.24634159755198548,0.7761723442967515,3.9524674935790003
L_yellow,257.0,427.0,-220.2953643798828,-168.9334411621093,0.559696299011842,0.5538628597706252,0.5926761424135273,1.514638149307837
square,236.0,277.0,-293.8832092285156,-179.3145904541015,0.09878116963446218,0.11701540307510364,0.22065790747710343,0.39070666544120186
T,369.0,68.0,-396.1471252441406,-113.730598449707,0.31443818067518836,0.311413229107364,0.40109286444901276,6.934606273244082
T,200.0,62.0,-399.34521484375,-196.46533203125,0.10235595727930806,0.12540660338042345,0.41972635752496257,2.2898127377980444
square,233.0,193.0,-334.6470336914062,-180.6742553710937,0.378633262663063,0.4081392052874438,0.5221306628469337,0.29571261642079194
T,317.0,291.0,-287.247802734375,-139.895797729492,0.38384275514875177,0.4720554220193355,0.526662454855404,0.4720184168245887
L_blue,330.0,386.0,-240.4024047851562,-133.026611328125,0.41043045612154383,0.420248702048324,0.6027762676933626,0.9907171180035652
z_blue,143.0,222.0,-320.6478271484375,-225.5116882324218,0.8126958872934344,0.8648558273570925,0.49957260967818784,2.1584432671642464
