方块类别,任务序号,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,最终命令TCP位置X,最终命令TCP位置Y,零误差等效TCP位置X,零误差等效TCP位置Y,最终像素误差X,最终像素误差Y,静止像素误差均值X,静止像素误差均值Y,静止像素误差标准差X,静止像素误差标准差Y,静止采样有效帧数,静止采样请求帧数,静止采样完整
square,1,119.0,206.0,-327.092559814453,-234.3174438476562,-327.0910573815566,-234.3242710258073,,,-1.0,0.0,,,,,0,0,False
L_blue,2,330.0,388.0,-237.3594512939453,-131.0375061035156,-237.3610361239824,-131.04175894655458,,,0.0,0.0,,,,,0,0,False
square,3,304.0,80.0,-388.5411987304687,-143.6927185058593,-388.533588942334,-143.69986950015743,,,0.0,1.0,,,,,0,0,False
L_blue,4,1077.0,405.0,-226.7841644287109,235.064727783203,-226.78707610963815,235.06692070461557,,,0.0,0.0,,,,,0,0,False
L_yellow,5,84.0,97.0,-380.0789184570312,-250.8587493896484,-380.08213670782806,-250.84866138507377,,,0.0,0.0,,,,,0,0,False
z_green,6,1093.0,72.0,-389.8623657226562,241.5267944335937,-389.8605242653984,241.5340404701679,,,0.0,-1.0,,,,,0,0,False
L_blue,7,891.0,457.0,-202.1036071777343,144.4341735839843,-202.10326772842825,144.42838563896004,,,0.0,1.0,,,,,0,0,False
line,8,938.0,254.0,-301.8609619140625,166.0843658447265,-301.8593079421874,166.09204145263124,,,0.0,-1.0,,,,,0,0,False
L_yellow,9,176.0,543.0,-162.610107421875,-207.9336700439453,-162.60717605948395,-207.9288659721942,,,0.0,0.0,,,,,0,0,False
square,10,877.0,561.0,-151.160446166992,136.5513916015625,-151.16111430629616,136.544975166408,,,1.0,1.0,,,,,0,0,False
T,11,103.0,547.0,-160.679733276367,-243.5265045166015,-160.67925342389748,-243.5225468118709,,,0.0,0.0,,,,,0,0,False
line,12,1015.0,176.0,-339.3942565917968,203.7641296386718,-339.39846161889693,203.7639071922525,,,0.0,-1.0,,,,,0,0,False
L_blue,13,1002.0,517.0,-171.4360961914062,197.4133911132812,-171.43463932954182,197.4176368050854,,,0.0,0.0,,,,,0,0,False
L_yellow,14,116.0,411.0,-227.1768798828125,-237.0157165527343,-227.1773105969191,-237.01988752330672,,,-1.0,0.0,,,,,0,0,False
square,15,868.0,161.0,-347.547393798828,131.9461975097656,-347.5452393313152,131.94050469679698,,,0.0,0.0,,,,,0,0,False
L_yellow,16,285.0,299.0,-281.7120056152343,-153.4166870117187,-281.7134546897452,-153.41390684403527,,,1.0,0.0,,,,,0,0,False
z_green,17,294.0,180.0,-339.3983764648437,-149.3085632324218,-339.40228523478,-149.30764752005192,,,1.0,1.0,,,,,0,0,False
z_blue,18,324.0,516.0,-175.4529418945312,-134.8483581542968,-175.4519087317855,-134.846171916097,,,0.0,0.0,,,,,0,0,False
square,19,992.0,409.0,-225.8310394287109,193.1473083496093,-225.83479944301067,193.14836270023,,,1.0,1.0,,,,,0,0,False
z_blue,20,239.0,490.0,-188.3475494384765,-177.025665283203,-188.34339194453983,-177.02266888955054,,,0.0,1.0,,,,,0,0,False
z_green,21,214.0,397.0,-234.2039184570312,-188.7252960205078,-234.2026828199347,-188.72727582182176,,,-1.0,0.0,,,,,0,0,False
line,22,30.0,255.0,-303.5835571289062,-278.2486877441406,-303.58161167312943,-278.24632406508294,,,1.0,1.0,,,,,0,0,False
T,23,209.0,111.0,-373.679718017578,-190.2279815673828,-373.6798975627807,-190.23261444862865,,,1.0,1.0,,,,,0,0,False
z_blue,24,888.0,394.0,-232.7606201171875,142.167510986328,-232.7593451028708,142.16042123622034,,,-1.0,0.0,,,,,0,0,False
line,25,1103.0,513.0,-173.9894409179687,247.1608734130859,-173.98989904740216,247.1606437412253,,,0.0,1.0,,,,,0,0,False
T,26,1090.0,304.0,-276.5290222167968,240.4298400878906,-276.5294767170739,240.42649991818428,,,1.0,1.0,,,,,0,0,False
z_green,27,999.0,275.0,-291.112579345703,196.1200256347656,-291.1162012388771,196.1198758969757,,,0.0,0.0,,,,,0,0,False
z_blue,28,889.0,59.0,-397.8475952148437,142.2917022705078,-397.8460565648864,142.2932973455169,,,0.0,0.0,,,,,0,0,False
L_yellow,29,1102.0,160.0,-346.8047790527343,246.2327880859375,-346.8097778541569,246.2298213828229,,,0.0,-1.0,,,,,0,0,False
T,30,201.0,232.0,-313.804473876953,-194.4578399658203,-313.80341754177863,-194.45513790473828,,,0.0,0.0,,,,,0,0,False
z_blue,31,980.0,59.0,-396.6801452636718,186.5928344726562,-396.6811300813823,186.58570075734457,,,0.0,1.0,,,,,0,0,False
z_green,32,874.0,289.0,-284.5540161132812,135.1663818359375,-284.5537707588511,135.16787570725063,,,0.0,1.0,,,,,0,0,False
T,33,43.0,427.0,-219.1137237548828,-272.4187927246093,-219.11177349749065,-272.4151493956891,,,0.0,0.0,,,,,0,0,False
line,34,81.0,41.0,-407.1559143066406,-252.2973022460937,-407.1549124492015,-252.2945232766878,,,-1.0,0.0,,,,,0,0,False
L_blue,35,124.0,310.0,-276.867706298828,-232.2931518554687,-276.8724864194561,-232.2907363883001,,,0.0,0.0,,,,,0,0,False
