运行编号,任务序号,方块类别,托盘行,托盘列,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,到TCP拟合平面有符号距离,到TCP拟合平面绝对距离
20260719_145127_668001,1,L_yellow,2.0,1.0,-171.5677032470703,-42.89163208007812,190.7348327636718,0.7178846927278955,0.7178846927278955
20260719_145127_668001,2,T,1.5,4.0,-161.3328857421875,17.29730796813965,190.4459686279297,0.04248171573119232,0.04248171573119232
20260719_145127_668001,3,line,1.0,7.5,-151.579849243164,87.47100830078125,190.0982055664062,-0.7546936067324203,0.7546936067324203
20260719_145127_668001,4,z_green,2.0,9.5,-172.2363891601562,127.3415374755859,191.0497894287109,-0.043458100877967976,0.043458100877967976
20260719_145127_668001,5,L_yellow,3.0,2.0,-191.7130432128906,-23.18762969970703,190.6935577392578,0.5635358563535161,0.5635358563535161
20260719_145127_668001,6,L_blue,3.0,4.0,-191.636489868164,17.10352516174316,191.5553283691406,1.170415125529277,1.170415125529277
20260719_145127_668001,7,L_yellow,2.0,7.0,-171.8656768798828,77.16024780273438,192.3016510009765,1.5255481224917569,1.5255481224917569
20260719_145127_668001,8,T,5.0,1.5,-232.0867767333984,-33.33591842651367,189.0348815917968,-1.007779054865257,1.007779054865257
20260719_145127_668001,9,z_blue,5.0,3.5,-232.0787658691406,7.01741886138916,189.9097442626953,-0.3881620054154381,0.3881620054154381
20260719_145127_668001,10,z_green,4.5,5.0,-222.139923095703,36.75831222534179,189.699737548828,-0.7919642540998364,0.7919642540998364
20260719_145127_668001,11,square,3.5,6.5,-202.1272583007812,66.950439453125,191.4087677001953,0.7146032929766217,0.7146032929766217
20260719_145127_668001,12,L_blue,5.0,9.0,-232.3566284179687,116.6856536865234,192.3148040771484,1.3233881733244848,1.3233881733244848
20260719_145127_668001,13,line,4.5,10.0,-222.5431976318359,136.8722839355468,189.2439575195312,-1.88069634275779,1.88069634275779
20260719_145127_668001,14,square,5.5,7.5,-242.4962158203125,86.87061309814453,190.6090393066406,-0.18795840033019318,0.18795840033019318
20260719_145127_668001,15,z_green,7.0,1.5,-271.9333190917968,-34.2231216430664,189.2391662597656,-0.775046644286364,0.775046644286364
20260719_145127_668001,16,z_blue,7.0,3.5,-272.372314453125,5.99630546569824,190.0777435302734,-0.19061108994041331,0.19061108994041331
20260719_145127_668001,17,T,7.0,6.5,-272.3896484375,66.48056030273438,189.8012237548828,-0.8496610716422681,0.8496610716422681
20260719_145127_668001,18,line,7.5,5.0,-282.4130859375,35.846378326416,190.017379760742,-0.4340113676308722,0.4340113676308722
20260719_145127_668001,19,L_blue,7.0,9.0,-272.832275390625,116.0561447143554,191.6246337890625,0.660414433050523,0.660414433050523
20260719_145127_668001,20,L_blue,9.0,3.0,-312.1860961914062,-4.629951953887939,191.32080078125,1.1424509268635101,1.1424509268635101
20260719_145127_668001,21,T,8.5,7.0,-302.5707092285156,76.19513702392578,189.9673614501953,-0.727668488073289,0.727668488073289
20260719_145127_668001,22,square,8.5,9.5,-302.8284606933593,126.1162185668945,190.7241058349609,-0.28652826711156937,0.28652826711156937
20260719_145127_668001,23,L_yellow,10.0,1.0,-331.9247741699218,-44.1291389465332,189.6317749023437,-0.28540529655893954,0.28540529655893954
20260719_145127_668001,24,T,10.0,4.5,-332.3607482910156,25.23602485656738,190.321044921875,-0.034614213746168354,0.034614213746168354
20260719_145127_668001,25,z_blue,11.0,6.5,-352.4376220703125,65.68701934814453,190.2517700195312,-0.34822043666823366,0.34822043666823366
20260719_145127_668001,26,line,10.0,8.5,-332.6734008789062,104.7628173828125,190.033981323242,-0.824477163457531,0.824477163457531
20260719_145127_668001,27,z_blue,11.0,2.5,-352.0854187011718,-14.95479869842529,189.6050872802734,-0.48505544694368957,0.48505544694368957
20260719_145127_668001,28,L_yellow,12.0,8.0,-371.8850708007812,94.71640014648438,192.1581573486328,1.3856733969342334,1.3856733969342334
20260719_145127_668001,29,z_green,12.0,9.5,-373.0275573730468,124.9393463134765,190.202178955078,-0.7607622085394851,0.7607622085394851
20260719_145127_668001,30,square,12.5,1.5,-381.4786071777343,-35.20034790039062,189.8516235351562,-0.09362826372104771,0.09362826372104771
20260719_145127_668001,31,z_green,13.0,3.5,-392.0086364746093,4.130574703216552,190.6363220214843,0.44833344266477193,0.44833344266477193
20260719_145127_668001,32,line,12.5,5.0,-382.2572937011718,34.42050170898437,190.5267028808593,0.14155173856845804,0.14155173856845804
20260719_145127_668001,33,z_blue,13.0,6.5,-392.4526062011718,65.07250213623047,190.4447784423828,-0.1283921522759704,0.1283921522759704
20260719_145127_668001,34,L_blue,14.0,9.0,-412.4518432617187,114.9498214721679,192.3197174072265,1.442512958458616,1.442512958458616
