运行编号,任务序号,方块类别,托盘行,托盘列,高位世界坐标X,高位世界坐标Y,高位世界坐标Z,到高位世界拟合平面有符号距离,到高位世界拟合平面绝对距离
20260719_145127_668001,1,L_yellow,2.0,1.0,-256.3074506872889,-54.62332871468361,3.3943862288829223,0.7196565142612137,0.7196565142612137
20260719_145127_668001,2,T,1.5,4.0,-246.70352538298937,5.339206264023867,3.087318202442873,0.039537569237192115,0.039537569237192115
20260719_145127_668001,3,line,1.0,7.5,-236.5325480656288,76.34752934043262,2.727849917259164,-0.76003162668777,0.76003162668777
20260719_145127_668001,4,z_green,2.0,9.5,-257.09917915769483,116.54587642236716,3.6436219444181575,-0.056846637673867995,0.056846637673867995
20260719_145127_668001,5,L_yellow,3.0,2.0,-276.8059457335284,-34.765413892207135,3.39955186853598,0.6341787929081941,0.6341787929081941
20260719_145127_668001,6,L_blue,3.0,4.0,-276.66094846102123,5.598620433793775,4.221139138520812,1.2134074753038226,1.2134074753038226
20260719_145127_668001,7,L_yellow,2.0,7.0,-257.2630568771996,65.62204700538703,4.869051647661991,1.474276684947275,1.474276684947275
20260719_145127_668001,8,T,5.0,1.5,-316.6376577828386,-45.35945053980532,1.6262140789752948,-1.0202250778562498,1.0202250778562498
20260719_145127_668001,9,z_blue,5.0,3.5,-316.8593232808623,-5.198623018245637,2.449372755298384,-0.4376965047448912,0.4376965047448912
20260719_145127_668001,10,z_green,4.5,5.0,-306.97910372190665,25.554542940222618,2.2691333384181576,-0.8161478293537897,0.8161478293537897
20260719_145127_668001,11,square,3.5,6.5,-287.27735222447603,55.48723674303552,4.047519674409614,0.7552641371145092,0.7552641371145092
20260719_145127_668001,12,L_blue,5.0,9.0,-317.582631064862,105.25334971247608,4.964847153454002,1.4161401916141068,1.4161401916141068
20260719_145127_668001,13,line,4.5,10.0,-307.61351842795125,126.7296436436558,1.8230537949908692,-1.8682810205409308,1.8682810205409308
20260719_145127_668001,14,square,5.5,7.5,-327.7977635522511,75.63320998858168,3.1393067778419663,-0.21748183692062056,0.21748183692062056
20260719_145127_668001,15,z_green,7.0,1.5,-357.2310742648583,-45.51701169484388,1.810796335430723,-0.7782954331823959,0.7782954331823959
20260719_145127_668001,16,z_blue,7.0,3.5,-357.32641845105314,-5.357981579615126,2.6301433206899105,-0.19974322332580713,0.19974322332580713
20260719_145127_668001,17,T,7.0,6.5,-357.80649830929747,55.34888371302688,2.36561984021796,-0.8277716167991533,0.8277716167991533
20260719_145127_668001,18,line,7.5,5.0,-367.6813347479887,25.0786188049872,2.5419916688867943,-0.4560921828516222,0.4560921828516222
20260719_145127_668001,19,L_blue,7.0,9.0,-357.7557623219462,105.37971327365076,4.145277162984144,0.6516493811113004,0.6516493811113004
20260719_145127_668001,20,L_blue,9.0,3.0,-397.2158019805421,-15.54902598939926,3.856229631879216,1.1428827486354964,1.1428827486354964
20260719_145127_668001,21,T,8.5,7.0,-388.0812303238942,65.22930224489203,2.45971917838682,-0.7508785415402768,0.7508785415402768
20260719_145127_668001,22,square,8.5,9.5,-388.4827600917407,115.50817717083648,3.2370138563968567,-0.27466075840522375,0.27466075840522375
20260719_145127_668001,23,L_yellow,10.0,1.0,-417.2279232457797,-55.66600405712848,2.1240043575591017,-0.32084282508790507,0.32084282508790507
20260719_145127_668001,24,T,10.0,4.5,-417.8722622578216,14.397592355214291,2.8165723045295863,-0.04770018894515615,0.04770018894515615
20260719_145127_668001,25,z_blue,11.0,6.5,-438.26435526772747,55.03286437213895,2.7292074363516576,-0.3504966898036802,0.3504966898036802
20260719_145127_668001,26,line,10.0,8.5,-418.67317791731966,95.34334745872832,2.46397320885319,-0.8847686598011725,0.8847686598011725
20260719_145127_668001,27,z_blue,11.0,2.5,-437.7698338882314,-26.027311204414893,2.085997762574948,-0.508105963338711,0.508105963338711
20260719_145127_668001,28,L_yellow,12.0,8.0,-458.0075888888895,84.63120872549035,4.685286287919666,1.4554200764545735,1.4554200764545735
20260719_145127_668001,29,z_green,12.0,9.5,-458.98082500190185,115.41618067611662,2.557374568617945,-0.8557762463604955,0.8557762463604955
20260719_145127_668001,30,square,12.5,1.5,-467.4057107050921,-46.08495886589751,2.30919784881786,-0.12340554813680493,0.12340554813680493
20260719_145127_668001,31,z_green,13.0,3.5,-477.7767559518883,-5.838902330902078,3.177577818614566,0.5179350240995576,0.5179350240995576
20260719_145127_668001,32,line,12.5,5.0,-468.3790586124221,24.439666383289698,2.999073390883723,0.1447362155859137,0.1447362155859137
20260719_145127_668001,33,z_blue,13.0,6.5,-478.73903996934,54.3903107124209,2.9158967632629924,-0.10371555345682262,0.10371555345682262
20260719_145127_668001,34,L_blue,14.0,9.0,-498.08292063680335,104.10766344782763,4.784899597280287,1.4938791535401972,1.4938791535401972
