运行编号,任务序号,方块类别唯一,高位检测像素X_跨事件极差,高位检测像素X_唯一,高位检测像素Y_跨事件极差,高位检测像素Y_唯一,高位世界坐标X_跨事件极差,高位世界坐标X_唯一,高位世界坐标Y_跨事件极差,高位世界坐标Y_唯一,高位世界坐标Z_跨事件极差,高位世界坐标Z_唯一,托盘行_跨事件极差,托盘行_唯一,托盘列_跨事件极差,托盘列_唯一,全部唯一
20260719_145127_668001,1,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,2,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,3,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,4,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,5,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,6,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,7,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,8,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,9,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,10,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,11,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,12,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,13,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,14,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,15,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,16,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,17,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,18,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,19,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,20,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,21,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,22,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,23,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,24,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,25,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,26,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,27,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,28,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,29,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,30,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,31,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,32,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,33,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
20260719_145127_668001,34,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,True
