运行编号,任务序号,方块类别,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,到TCP拟合平面有符号距离,到TCP拟合平面绝对距离
20260719_145127_668001,1,L_yellow,-279.3433532714843,-148.5853271484375,197.1634521484375,-0.4245993619969597,0.4245993619969597
20260719_145127_668001,2,T,-169.8935241699218,-170.0523376464843,196.9694366455078,-0.5048549571700527,0.5048549571700527
20260719_145127_668001,3,line,-151.200942993164,219.1703796386718,202.1607360839843,0.7256171572591943,0.7256171572591943
20260719_145127_668001,4,z_green,-361.9444885253906,271.7509765625,201.8382568359375,0.07020602520338004,0.07020602520338004
20260719_145127_668001,5,L_yellow,-231.3754425048828,-106.5049972534179,199.0299072265625,0.9700299738186451,0.9700299738186451
20260719_145127_668001,6,L_blue,-221.5801544189453,-158.4837493896484,198.1352081298828,0.5926428157490409,0.5926428157490409
20260719_145127_668001,7,L_yellow,-162.2196960449218,-134.8653869628906,197.7244720458984,-0.1135757787334204,0.1135757787334204
20260719_145127_668001,8,T,-161.3023529052734,292.7080078125,201.869171142578,-0.30130076297204145,0.30130076297204145
20260719_145127_668001,9,z_blue,-194.0045471191406,188.2555084228515,201.4642639160156,0.38290993440648435,0.38290993440648435
20260719_145127_668001,10,z_green,-167.4647827148437,-90.5464401245117,199.531051635742,1.2489272304161703,1.2489272304161703
20260719_145127_668001,11,square,-261.8802490234375,-227.0294647216797,196.6232299804687,-0.1866980737870958,0.1866980737870958
20260719_145127_668001,12,L_blue,-294.9754028320312,280.3582153320312,202.5410919189453,0.6223546548898984,0.6223546548898984
20260719_145127_668001,13,line,-224.0006256103515,200.6336517333984,200.5441741943359,-0.6340998192584877,0.6340998192584877
20260719_145127_668001,14,square,-240.261276245117,234.807418823242,200.5149688720703,-0.9940774294361854,0.9940774294361854
20260719_145127_668001,15,z_green,-151.2161865234375,-215.7836608886718,197.014419555664,-0.014311937234827266,0.014311937234827266
20260719_145127_668001,16,z_blue,-340.1055908203125,-140.1702270507812,197.5905303955078,-0.025211767369520466,0.025211767369520466
20260719_145127_668001,17,T,-189.097457885742,249.008560180664,201.2066650390625,-0.49475696370995537,0.49475696370995537
20260719_145127_668001,18,line,-331.004180908203,-176.5386352539062,196.69091796875,-0.5649880792206425,0.5649880792206425
20260719_145127_668001,19,L_blue,-255.1993713378906,-190.4439392089843,196.4239044189453,-0.7629571984803993,0.7629571984803993
20260719_145127_668001,20,L_blue,-388.9753112792968,-231.603042602539,196.173095703125,-0.4700462276227908,0.4700462276227908
20260719_145127_668001,21,T,-295.3153381347656,227.475860595703,201.7438812255859,0.3612082904373204,0.3612082904373204
20260719_145127_668001,22,square,-337.7817993164062,304.8790893554687,202.5189666748047,0.3923951707907096,0.3923951707907096
20260719_145127_668001,23,L_yellow,-288.5165100097656,179.9159851074218,200.9425659179687,0.03527601602309449,0.03527601602309449
20260719_145127_668001,24,T,-207.7753295898437,-230.9450378417968,196.352783203125,-0.46873442788719366,0.46873442788719366
20260719_145127_668001,25,z_blue,-231.854049682617,279.1114807128906,201.2086639404297,-0.7571871605868208,0.7571871605868208
20260719_145127_668001,26,line,-359.8590087890625,200.1674194335937,201.20361328125,0.15876425395087268,0.15876425395087268
20260719_145127_668001,27,z_blue,-380.5260925292968,-108.754409790039,197.66943359375,-0.22625498193065496,0.22625498193065496
20260719_145127_668001,28,L_yellow,-379.484649658203,-184.6176147460937,197.0047454833984,-0.12339739853072418,0.12339739853072418
20260719_145127_668001,29,z_green,-382.4164428710937,177.2765502929687,201.410202026367,0.618602864531244,0.618602864531244
20260719_145127_668001,30,square,-341.11376953125,-90.51924896240234,198.365036010742,0.24724214511368103,0.24724214511368103
20260719_145127_668001,31,z_green,-279.6478271484375,-95.06535339355467,199.064498901367,0.9344774418641988,0.9344774418641988
20260719_145127_668001,32,line,-408.6815795898437,-154.0393676757812,197.9784393310547,0.5681531626364444,0.5681531626364444
20260719_145127_668001,33,z_blue,-402.7892150878906,241.7965698242187,201.1371002197265,-0.2887711432109734,0.2887711432109734
20260719_145127_668001,34,L_blue,-325.7032775878906,235.4972991943359,200.862106323242,-0.5729836679526297,0.5729836679526297
