运行编号,任务序号,方块类别,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,affine_预测TCP_X,affine_预测TCP_Y,affine_预测TCP_Z,affine_OOF三维误差,homography_预测TCP_X,homography_预测TCP_Y,homography_预测TCP_Z,homography_OOF三维误差,poly2_预测TCP_X,poly2_预测TCP_Y,poly2_预测TCP_Z,poly2_OOF三维误差,poly3_预测TCP_X,poly3_预测TCP_Y,poly3_预测TCP_Z,poly3_OOF三维误差
20260719_145127_668001,1,L_yellow,288.0,307.0,-279.3433532714843,-148.5853271484375,197.1634521484375,-279.3303879483427,-149.1366911233708,197.56188124893106,0.6803793651916049,-279.3843261229047,-148.6898423834608,197.56512211732885,0.41706231286784845,-279.50353663758597,-148.47060375176548,197.6237742663883,0.500716107983682,-279.65747644176815,-147.85635563532796,197.82677891932946,1.034444410307452
20260719_145127_668001,2,T,246.0,536.0,-169.8935241699218,-170.0523376464843,196.9694366455078,-170.69937231241613,-169.65244404510105,197.40981380029862,1.0016177712333612,-169.89891669683846,-169.44383887829775,197.4128676101065,0.7529481061773134,-170.14871323934625,-169.53114819628104,197.64913751526908,0.8937299236968107,-170.18994969811823,-169.4466954802067,197.7449970608424,1.0276986353858302
20260719_145127_668001,3,line,1062.0,570.0,-151.200942993164,219.1703796386718,202.1607360839843,-150.33709912073928,218.37175293525485,201.40058744565215,1.4006629857658706,-151.64579452952117,218.90247023167532,201.40753113152957,0.9148694115330606,-151.1958663333114,218.74367453285922,201.29172088348685,0.96813761340906,-150.99423116087067,218.50184181464945,201.23778707983888,1.1582346342652645
20260719_145127_668001,4,z_green,1173.0,123.0,-361.9444885253906,271.7509765625,201.8382568359375,-362.5407439563968,272.4130905246444,201.8339414085176,0.8910297754759654,-361.4514755821921,271.7722361789793,201.82977594520582,0.49354397875138484,-361.61655827520946,271.6101855265432,201.68600790305663,0.38799497722655346,-361.7537116383212,272.11464191002193,201.90991377902438,0.416872910034588
20260719_145127_668001,5,L_yellow,374.0,406.0,-231.3754425048828,-106.5049972534179,199.0299072265625,-231.86531362939323,-108.40502700383023,197.9820046614098,2.224451967819184,-231.6618408243199,-107.373859934839,197.99259280183074,1.3831007093842635,-232.0029824733074,-106.99626056047332,198.2714368868719,1.1001923945473149,-232.51120519609586,-106.56845897078549,198.351187894364,1.324629839699656
20260719_145127_668001,6,L_blue,266.0,429.0,-221.5801544189453,-158.4837493896484,198.1352081298828,-221.41135413685979,-159.5690233523662,197.5198878274279,1.2589408977384637,-221.1113004658522,-159.60528265487525,197.51831975034847,1.3631625607923434,-221.10612363560003,-159.59372475837608,197.473189814536,1.3765968010262533,-221.31767929758814,-159.49279906465236,197.38863020029626,1.2823622892547875
20260719_145127_668001,7,L_yellow,316.0,554.0,-162.2196960449218,-134.8653869628906,197.7244720458984,-161.67250840524795,-136.27016992576938,197.9589781319552,1.5257203512452722,-160.77930421912953,-135.73933280485278,197.96376290803357,1.701696231174513,-161.1390567768697,-135.779728687338,198.31735524595837,1.5347027417825807,-161.1188301290308,-135.63249753973747,198.74391246844797,1.6851181492728815
20260719_145127_668001,8,T,1220.0,547.0,-161.3023529052734,292.7080078125,201.869171142578,-160.2809347873204,293.492465766394,202.31886094296587,1.3641444827008158,-161.7364715621859,292.4316711494344,202.30738953888107,0.6759114753369356,-161.1441050915933,292.24110135107003,201.8715246931367,0.4930005613179595,-160.75209315026348,292.31137883026435,201.9222413713335,0.6803798914672914
20260719_145127_668001,9,z_blue,998.0,481.0,-194.0045471191406,188.2555084228515,201.4642639160156,-192.9913964535118,188.18145542046452,201.05325670534458,1.0958490067751796,-193.7693798917229,189.12562435113352,201.06424742419287,0.9861128471080596,-193.69842841574442,189.33967905430615,201.13355402387302,1.1740969514646853,-193.77994463157106,188.79236488134234,200.92089736190152,0.7961836136065255
20260719_145127_668001,10,z_green,409.0,542.0,-167.4647827148437,-90.5464401245117,199.531051635742,-166.88264888636058,-92.18901791556428,198.18646018894174,2.2011060294161084,-166.46456943426188,-90.90137726669182,198.19876217803082,1.703350281263239,-166.72908606706326,-90.71481018167049,198.64372242401913,1.1648824677536012,-167.0021280436213,-90.12388944324526,198.92949650777973,0.8686005957978189
