运行编号,任务序号,伺服成功行数,成功行唯一
20260719_145127_668001,1,1,True
20260719_145127_668001,2,1,True
20260719_145127_668001,3,1,True
20260719_145127_668001,4,1,True
20260719_145127_668001,5,1,True
20260719_145127_668001,6,1,True
20260719_145127_668001,7,1,True
20260719_145127_668001,8,1,True
20260719_145127_668001,9,1,True
20260719_145127_668001,10,1,True
20260719_145127_668001,11,1,True
20260719_145127_668001,12,1,True
20260719_145127_668001,13,1,True
20260719_145127_668001,14,1,True
20260719_145127_668001,15,1,True
20260719_145127_668001,16,1,True
20260719_145127_668001,17,1,True
20260719_145127_668001,18,1,True
20260719_145127_668001,19,1,True
20260719_145127_668001,20,1,True
20260719_145127_668001,21,1,True
20260719_145127_668001,22,1,True
20260719_145127_668001,23,1,True
20260719_145127_668001,24,1,True
20260719_145127_668001,25,1,True
20260719_145127_668001,26,1,True
20260719_145127_668001,27,1,True
20260719_145127_668001,28,1,True
20260719_145127_668001,29,1,True
20260719_145127_668001,30,1,True
20260719_145127_668001,31,1,True
20260719_145127_668001,32,1,True
20260719_145127_668001,33,1,True
20260719_145127_668001,34,1,True
